,Customer_ID,Customer_Age,Customer_Gender,Age_Group
0,81af1248-afff-46ee-a091-81cf33d0d957,39,Male,31-45
1,f3f3f4ac-7ad0-4362-9134-383096d16ac8,21,Male,18-30
2,c4fc4269-3c1d-4b6b-ad23-d437c328d63f,27,Female,18-30
3,578e2d1a-d92a-449d-8eeb-b704110b2975,51,Female,46-60
4,dc6ed196-0874-46bd-bbb9-c5534f619349,45,Female,31-45
5,09c805ea-a1c3-4611-bee1-35b97a7c3a12,33,Female,31-45
6,30220fbf-9c51-4123-bb9d-d0cd09d3c235,58,Female,46-60
7,dc4e72c8-86d9-4b34-b5dc-613d35c745da,59,Male,46-60
8,879bde3c-395c-404e-bb98-bcc7de6023bf,43,Male,31-45
9,d76549ba-b842-461c-941a-9b4e7025b09c,57,Male,46-60
10,795ac3e2-c560-404d-b29a-0546321a47d4,59,Male,46-60
11,1ad95bab-6741-4bb7-b358-a26be425eef8,55,Male,46-60
12,b1e47361-346c-48f8-a4dd-67036fbf5320,49,Male,46-60
13,70337cc7-6caa-4aac-be3d-a597e1a4c1d6,27,Male,18-30
14,9916e8b9-bf0f-4230-9167-3a0754a8fc0b,67,Female,60+
15,4e6c15d3-4861-4362-a87e-b73c6fb185bf,29,Female,18-30
16,ad921ff9-8875-4b53-b3e7-fa3d4eefbeec,48,Female,46-60
17,b956cae2-3337-41d4-a667-1b1f810f72fb,55,Male,46-60
18,5a88bd0c-0bb2-4ef5-bc7e-239affc93722,63,Female,60+
19,2a32da69-0e07-40fa-8154-bc81396bae73,58,Female,46-60
20,9a660ef1-b8c5-4eb0-840a-dc30d0a5784d,25,Male,18-30
21,ce79b25f-f48b-4b97-880d-b4654b94a0e3,26,Female,18-30
22,2cb0df72-e9ea-4b59-a474-9ea7ef2bde3e,19,Male,18-30
23,9f1af0e1-84b9-4584-8d11-ff08946ae861,29,Male,18-30
24,dd8b9e22-88f8-4351-b06e-886e157b4cd4,21,Female,18-30
25,5c63feea-2ead-479c-ac55-90a096a94b12,21,Male,18-30
26,d6ba78d1-77a3-4f9e-b92e-ff58ec1eb601,39,Male,31-45
27,bc77a516-4f9f-4f7c-a1b4-78ad02cb2ce2,49,Male,46-60
28,875a4ebe-e6ef-4f17-89df-9d284f83b503,18,Male,Under 18
29,c535da14-8156-422a-8f33-67a95a540348,64,Male,60+
30,a4108820-5676-449e-923e-2fea795924d0,62,Male,60+
31,549751d4-883b-4dab-a09c-e799f48cd015,52,Male,46-60
