Order_ID,Product_Name,Category,Price,Quantity,Total_Sales,Customer_ID,Customer_Age,Customer_Gender,Purchase_Date,Purchase_Time,Age_Group,Year,Month,Month_Name,Quarter,Day_Name,Hour,Product_ID
OrderID1,audience,Home & Garden,766.85,4,3067.4,81af1248-afff-46ee-a091-81cf33d0d957,39,Male,2024-05-25,06:28:14,31-45,2024,5,May,2,Saturday,6,1
OrderID2,such,Clothing,331.42,4,1325.68,f3f3f4ac-7ad0-4362-9134-383096d16ac8,21,Male,2024-05-04,19:37:36,18-30,2024,5,May,2,Saturday,19,2
OrderID3,read,Clothing,708.1,10,7081.0,c4fc4269-3c1d-4b6b-ad23-d437c328d63f,27,Female,2024-05-07,17:54:42,18-30,2024,5,May,2,Tuesday,17,3
OrderID4,skill,Electronics,774.09,2,1548.18,578e2d1a-d92a-449d-8eeb-b704110b2975,51,Female,2024-05-23,22:31:43,46-60,2024,5,May,2,Thursday,22,4
OrderID5,cold,Electronics,397.22,6,397.22,dc6ed196-0874-46bd-bbb9-c5534f619349,45,Female,2024-03-15,03:08:25,31-45,2024,3,March,1,Friday,3,5
OrderID6,hit,Home & Garden,857.68,8,6861.44,09c805ea-a1c3-4611-bee1-35b97a7c3a12,33,Female,2024-05-03,21:29:33,31-45,2024,5,May,2,Friday,21,6
OrderID7,base,Books,816.4,9,7347.6,30220fbf-9c51-4123-bb9d-d0cd09d3c235,58,Female,2024-04-02,06:44:10,46-60,2024,4,April,2,Tuesday,6,7
OrderID8,inside,Clothing,328.49,8,2627.92,dc4e72c8-86d9-4b34-b5dc-613d35c745da,59,Male,2024-02-28,00:02:39,46-60,2024,2,February,1,Wednesday,0,8
OrderID9,film,Clothing,661.57,8,5292.56,879bde3c-395c-404e-bb98-bcc7de6023bf,43,Male,2024-06-02,07:36:56,31-45,2024,6,June,2,Sunday,7,9
OrderID10,ever,Toys,902.55,7,6317.85,d76549ba-b842-461c-941a-9b4e7025b09c,57,Male,2024-03-12,05:04:27,46-60,2024,3,March,1,Tuesday,5,10
OrderID11,goal,Clothing,397.64,8,3181.12,795ac3e2-c560-404d-b29a-0546321a47d4,59,Male,2024-01-29,01:55:12,46-60,2024,1,January,1,Monday,1,11
OrderID12,report,Clothing,141.88,4,567.52,1ad95bab-6741-4bb7-b358-a26be425eef8,55,Male,2024-03-08,16:32:36,46-60,2024,3,March,1,Friday,16,12
OrderID13,election,Electronics,391.98,1,391.98,b1e47361-346c-48f8-a4dd-67036fbf5320,49,Male,2024-05-07,04:31:56,46-60,2024,5,May,2,Tuesday,4,13
OrderID14,hit,Clothing,668.82,8,5350.56,70337cc7-6caa-4aac-be3d-a597e1a4c1d6,27,Male,2024-01-15,16:38:28,18-30,2024,1,January,1,Monday,16,14
OrderID15,win,Toys,364.38,3,1093.14,9916e8b9-bf0f-4230-9167-3a0754a8fc0b,67,Female,2024-02-26,17:31:22,60+,2024,2,February,1,Monday,17,15
OrderID16,between,Books,435.59,4,1742.36,4e6c15d3-4861-4362-a87e-b73c6fb185bf,29,Female,2024-05-31,12:31:25,18-30,2024,5,May,2,Friday,12,16
OrderID17,reveal,Toys,871.83,2,1743.66,ad921ff9-8875-4b53-b3e7-fa3d4eefbeec,48,Female,2024-02-23,02:44:39,46-60,2024,2,February,1,Friday,2,17
OrderID18,fine,Books,890.64,5,4453.2,b956cae2-3337-41d4-a667-1b1f810f72fb,55,Male,2024-04-26,18:09:53,46-60,2024,4,April,2,Friday,18,18
OrderID19,sign,Books,134.87,5,674.35,5a88bd0c-0bb2-4ef5-bc7e-239affc93722,63,Female,2024-01-18,13:45:48,60+,2024,1,January,1,Thursday,13,19
OrderID20,service,Electronics,508.42,6,3050.52,2a32da69-0e07-40fa-8154-bc81396bae73,58,Female,2024-03-16,22:45:12,46-60,2024,3,March,1,Saturday,22,20
OrderID21,human,Clothing,893.99,6,5363.94,9a660ef1-b8c5-4eb0-840a-dc30d0a5784d,25,Male,2024-04-20,04:44:38,18-30,2024,4,April,2,Saturday,4,21
OrderID22,happen,Clothing,959.94,8,7679.52,ce79b25f-f48b-4b97-880d-b4654b94a0e3,26,Female,2024-02-02,19:50:02,18-30,2024,2,February,1,Friday,19,22
OrderID23,education,Electronics,502.71,1,502.71,2cb0df72-e9ea-4b59-a474-9ea7ef2bde3e,19,Male,2024-05-27,16:21:14,18-30,2024,5,May,2,Monday,16,23
OrderID24,blood,Clothing,378.11,9,3402.99,9f1af0e1-84b9-4584-8d11-ff08946ae861,29,Male,2024-02-11,18:51:43,18-30,2024,2,February,1,Sunday,18,24
OrderID25,energy,Electronics,593.65,10,5936.5,dd8b9e22-88f8-4351-b06e-886e157b4cd4,21,Female,2024-01-14,06:01:18,18-30,2024,1,January,1,Sunday,6,25
OrderID26,level,Electronics,927.12,7,6489.84,5c63feea-2ead-479c-ac55-90a096a94b12,21,Male,2024-01-20,05:11:46,18-30,2024,1,January,1,Saturday,5,26
OrderID27,get,Toys,574.05,5,2870.25,d6ba78d1-77a3-4f9e-b92e-ff58ec1eb601,39,Male,2024-04-28,14:26:29,31-45,2024,4,April,2,Sunday,14,27
