,Date,Year,Month,Month_Name,Quarter,Day,Day Name
0,2024-05-25,2024,5,May,Q2,25,Saturday
1,2024-05-04,2024,5,May,Q2,4,Saturday
2,2024-05-07,2024,5,May,Q2,7,Tuesday
3,2024-05-23,2024,5,May,Q2,23,Thursday
4,2024-03-15,2024,3,March,Q1,15,Friday
5,2024-05-03,2024,5,May,Q2,3,Friday
6,2024-04-02,2024,4,April,Q2,2,Tuesday
7,2024-02-28,2024,2,February,Q1,28,Wednesday
8,2024-06-02,2024,6,June,Q2,2,Sunday
9,2024-03-12,2024,3,March,Q1,12,Tuesday
10,2024-01-29,2024,1,January,Q1,29,Monday
11,2024-03-08,2024,3,March,Q1,8,Friday
13,2024-01-15,2024,1,January,Q1,15,Monday
14,2024-02-26,2024,2,February,Q1,26,Monday
15,2024-05-31,2024,5,May,Q2,31,Friday
16,2024-02-23,2024,2,February,Q1,23,Friday
17,2024-04-26,2024,4,April,Q2,26,Friday
18,2024-01-18,2024,1,January,Q1,18,Thursday
19,2024-03-16,2024,3,March,Q1,16,Saturday
20,2024-04-20,2024,4,April,Q2,20,Saturday
21,2024-02-02,2024,2,February,Q1,2,Friday
22,2024-05-27,2024,5,May,Q2,27,Monday
23,2024-02-11,2024,2,February,Q1,11,Sunday
24,2024-01-14,2024,1,January,Q1,14,Sunday
25,2024-01-20,2024,1,January,Q1,20,Saturday
26,2024-04-28,2024,4,April,Q2,28,Sunday
27,2024-03-31,2024,3,March,Q1,31,Sunday
28,2024-01-23,2024,1,January,Q1,23,Tuesday
29,2024-03-04,2024,3,March,Q1,4,Monday
30,2024-05-06,2024,5,May,Q2,6,Monday
31,2024-01-27,2024,1,January,Q1,27,Saturday
32,2024-04-19,2024,4,April,Q2,19,Friday
33,2024-03-18,2024,3,March,Q1,18,Monday
34,2024-01-25,2024,1,January,Q1,25,Thursday
35,2024-02-15,2024,2,February,Q1,15,Thursday
36,2024-02-01,2024,2,February,Q1,1,Thursday
37,2024-03-11,2024,3,March,Q1,11,Monday
39,2024-06-01,2024,6,June,Q2,1,Saturday
42,2024-05-16,2024,5,May,Q2,16,Thursday
43,2024-04-25,2024,4,April,Q2,25,Thursday
44,2024-05-22,2024,5,May,Q2,22,Wednesday
45,2024-02-22,2024,2,February,Q1,22,Thursday
46,2024-04-21,2024,4,April,Q2,21,Sunday
47,2024-05-19,2024,5,May,Q2,19,Sunday
50,2024-02-12,2024,2,February,Q1,12,Monday
51,2024-03-19,2024,3,March,Q1,19,Tuesday
52,2024-04-14,2024,4,April,Q2,14,Sunday
53,2024-02-21,2024,2,February,Q1,21,Wednesday
54,2024-02-04,2024,2,February,Q1,4,Sunday
